SettingID;SampleID;Sample;prep_number;process_tool;taxonomy
DE1;DE1_MOCK_B;MOCK_B;PREP7;deblur;idtaxa
DE10;DE10_MOCK_C;MOCK_C;PREP9;deblur;assigntaxonomy
DE10;DE10_MOCK_A;MOCK_A;PREP9;deblur;assigntaxonomy
DE10;DE10_MOCK_B;MOCK_B;PREP9;deblur;assigntaxonomy
DE11;DE11_MOCK_C;MOCK_C;PREP9;deblur;sintax
DE11;DE11_MOCK_A;MOCK_A;PREP9;deblur;sintax
DE11;DE11_MOCK_B;MOCK_B;PREP9;deblur;sintax
DE12;DE12_MOCK_C;MOCK_C;PREP9;deblur;qiime_taxonomy
DE12;DE12_MOCK_A;MOCK_A;PREP9;deblur;qiime_taxonomy
DE12;DE12_MOCK_B;MOCK_B;PREP9;deblur;qiime_taxonomy
DE13;DE13_MOCK_C;MOCK_C;PREP10;deblur;idtaxa
DE13;DE13_MOCK_A;MOCK_A;PREP10;deblur;idtaxa
DE13;DE13_MOCK_B;MOCK_B;PREP10;deblur;idtaxa
DE14;DE14_MOCK_C;MOCK_C;PREP10;deblur;assigntaxonomy
DE14;DE14_MOCK_A;MOCK_A;PREP10;deblur;assigntaxonomy
DE14;DE14_MOCK_B;MOCK_B;PREP10;deblur;assigntaxonomy
DE15;DE15_MOCK_C;MOCK_C;PREP10;deblur;sintax
DE15;DE15_MOCK_A;MOCK_A;PREP10;deblur;sintax
DE15;DE15_MOCK_B;MOCK_B;PREP10;deblur;sintax
DE16;DE16_MOCK_C;MOCK_C;PREP10;deblur;qiime_taxonomy
DE16;DE16_MOCK_A;MOCK_A;PREP10;deblur;qiime_taxonomy
DE16;DE16_MOCK_B;MOCK_B;PREP10;deblur;qiime_taxonomy
DE17;DE17_MOCK_C;MOCK_C;PREP11;deblur;idtaxa
DE17;DE17_MOCK_A;MOCK_A;PREP11;deblur;idtaxa
DE17;DE17_MOCK_B;MOCK_B;PREP11;deblur;idtaxa
DE18;DE18_MOCK_C;MOCK_C;PREP11;deblur;assigntaxonomy
DE18;DE18_MOCK_A;MOCK_A;PREP11;deblur;assigntaxonomy
DE18;DE18_MOCK_B;MOCK_B;PREP11;deblur;assigntaxonomy
DE19;DE19_MOCK_C;MOCK_C;PREP11;deblur;sintax
DE19;DE19_MOCK_A;MOCK_A;PREP11;deblur;sintax
DE19;DE19_MOCK_B;MOCK_B;PREP11;deblur;sintax
DE2;DE2_MOCK_C;MOCK_C;PREP7;deblur;assigntaxonomy
DE2;DE2_MOCK_A;MOCK_A;PREP7;deblur;assigntaxonomy
DE2;DE2_MOCK_B;MOCK_B;PREP7;deblur;assigntaxonomy
DE20;DE20_MOCK_C;MOCK_C;PREP11;deblur;qiime_taxonomy
DE20;DE20_MOCK_A;MOCK_A;PREP11;deblur;qiime_taxonomy
DE20;DE20_MOCK_B;MOCK_B;PREP11;deblur;qiime_taxonomy
DE21;DE21_MOCK_C;MOCK_C;PREP12;deblur;idtaxa
DE21;DE21_MOCK_A;MOCK_A;PREP12;deblur;idtaxa
DE21;DE21_MOCK_B;MOCK_B;PREP12;deblur;idtaxa
DE22;DE22_MOCK_C;MOCK_C;PREP12;deblur;assigntaxonomy
DE22;DE22_MOCK_A;MOCK_A;PREP12;deblur;assigntaxonomy
DE22;DE22_MOCK_B;MOCK_B;PREP12;deblur;assigntaxonomy
DE23;DE23_MOCK_C;MOCK_C;PREP12;deblur;sintax
DE23;DE23_MOCK_A;MOCK_A;PREP12;deblur;sintax
DE23;DE23_MOCK_B;MOCK_B;PREP12;deblur;sintax
DE24;DE24_MOCK_C;MOCK_C;PREP12;deblur;qiime_taxonomy
DE24;DE24_MOCK_A;MOCK_A;PREP12;deblur;qiime_taxonomy
DE24;DE24_MOCK_B;MOCK_B;PREP12;deblur;qiime_taxonomy
DE25;DE25_MOCK_C;MOCK_C;PREP13;deblur;idtaxa
DE25;DE25_MOCK_A;MOCK_A;PREP13;deblur;idtaxa
DE25;DE25_MOCK_B;MOCK_B;PREP13;deblur;idtaxa
DE26;DE26_MOCK_C;MOCK_C;PREP13;deblur;assigntaxonomy
DE26;DE26_MOCK_A;MOCK_A;PREP13;deblur;assigntaxonomy
DE26;DE26_MOCK_B;MOCK_B;PREP13;deblur;assigntaxonomy
DE27;DE27_MOCK_C;MOCK_C;PREP13;deblur;sintax
DE27;DE27_MOCK_A;MOCK_A;PREP13;deblur;sintax
DE27;DE27_MOCK_B;MOCK_B;PREP13;deblur;sintax
DE28;DE28_MOCK_C;MOCK_C;PREP13;deblur;qiime_taxonomy
DE28;DE28_MOCK_A;MOCK_A;PREP13;deblur;qiime_taxonomy
DE28;DE28_MOCK_B;MOCK_B;PREP13;deblur;qiime_taxonomy
DE29;DE29_MOCK_C;MOCK_C;PREP14;deblur;idtaxa
DE29;DE29_MOCK_A;MOCK_A;PREP14;deblur;idtaxa
DE29;DE29_MOCK_B;MOCK_B;PREP14;deblur;idtaxa
DE3;DE3_MOCK_C;MOCK_C;PREP7;deblur;sintax
DE3;DE3_MOCK_A;MOCK_A;PREP7;deblur;sintax
DE3;DE3_MOCK_B;MOCK_B;PREP7;deblur;sintax
DE30;DE30_MOCK_C;MOCK_C;PREP14;deblur;assigntaxonomy
DE30;DE30_MOCK_A;MOCK_A;PREP14;deblur;assigntaxonomy
DE30;DE30_MOCK_B;MOCK_B;PREP14;deblur;assigntaxonomy
DE31;DE31_MOCK_C;MOCK_C;PREP14;deblur;sintax
DE31;DE31_MOCK_A;MOCK_A;PREP14;deblur;sintax
DE31;DE31_MOCK_B;MOCK_B;PREP14;deblur;sintax
DE32;DE32_MOCK_C;MOCK_C;PREP14;deblur;qiime_taxonomy
DE32;DE32_MOCK_A;MOCK_A;PREP14;deblur;qiime_taxonomy
DE32;DE32_MOCK_B;MOCK_B;PREP14;deblur;qiime_taxonomy
DE4;DE4_MOCK_C;MOCK_C;PREP7;deblur;qiime_taxonomy
DE4;DE4_MOCK_A;MOCK_A;PREP7;deblur;qiime_taxonomy
DE4;DE4_MOCK_B;MOCK_B;PREP7;deblur;qiime_taxonomy
DE5;DE5_MOCK_C;MOCK_C;PREP8;deblur;idtaxa
DE5;DE5_MOCK_A;MOCK_A;PREP8;deblur;idtaxa
DE5;DE5_MOCK_B;MOCK_B;PREP8;deblur;idtaxa
DE6;DE6_MOCK_C;MOCK_C;PREP8;deblur;assigntaxonomy
DE6;DE6_MOCK_A;MOCK_A;PREP8;deblur;assigntaxonomy
DE6;DE6_MOCK_B;MOCK_B;PREP8;deblur;assigntaxonomy
DE7;DE7_MOCK_C;MOCK_C;PREP8;deblur;sintax
DE7;DE7_MOCK_A;MOCK_A;PREP8;deblur;sintax
DE7;DE7_MOCK_B;MOCK_B;PREP8;deblur;sintax
DE8;DE8_MOCK_C;MOCK_C;PREP8;deblur;qiime_taxonomy
DE8;DE8_MOCK_A;MOCK_A;PREP8;deblur;qiime_taxonomy
DE8;DE8_MOCK_B;MOCK_B;PREP8;deblur;qiime_taxonomy
DE9;DE9_MOCK_C;MOCK_C;PREP9;deblur;idtaxa
DE9;DE9_MOCK_A;MOCK_A;PREP9;deblur;idtaxa
DE9;DE9_MOCK_B;MOCK_B;PREP9;deblur;idtaxa
VU1;VU1_MOCK_A;MOCK_A;PREP7;vsearch;idtaxa
VU1;VU1_MOCK_B;MOCK_B;PREP7;vsearch;idtaxa
VU1;VU1_MOCK_C;MOCK_C;PREP7;vsearch;idtaxa
VU10;VU10_MOCK_A;MOCK_A;PREP9;vsearch;assigntaxonomy
VU10;VU10_MOCK_B;MOCK_B;PREP9;vsearch;assigntaxonomy
VU10;VU10_MOCK_C;MOCK_C;PREP9;vsearch;assigntaxonomy
VU11;VU11_MOCK_A;MOCK_A;PREP9;vsearch;sintax
