SeqID;Mock_reference;DA1_MOCK_A;DA1_MOCK_B;DA1_MOCK_C;DA2_MOCK_A;DA2_MOCK_B;DA2_MOCK_C;DA3_MOCK_A;DA3_MOCK_B;DA3_MOCK_C;DA4_MOCK_A;DA4_MOCK_B;DA4_MOCK_C;DA5_MOCK_A;DA5_MOCK_B;DA5_MOCK_C;DA6_MOCK_A;DA6_MOCK_B;DA6_MOCK_C;DA7_MOCK_A;DA7_MOCK_B;DA7_MOCK_C;DA8_MOCK_A;DA8_MOCK_B;DA8_MOCK_C;DA9_MOCK_A;DA9_MOCK_B;DA9_MOCK_C;DA10_MOCK_A;DA10_MOCK_B;DA10_MOCK_C;DA11_MOCK_A;DA11_MOCK_B;DA11_MOCK_C;DA12_MOCK_A;DA12_MOCK_B;DA12_MOCK_C;DA13_MOCK_A;DA13_MOCK_B;DA13_MOCK_C;DA14_MOCK_A;DA14_MOCK_B;DA14_MOCK_C;DA15_MOCK_A;DA15_MOCK_B;DA15_MOCK_C;DA16_MOCK_A;DA16_MOCK_B;DA16_MOCK_C;DA17_MOCK_A;DA17_MOCK_B;DA17_MOCK_C;DA18_MOCK_A;DA18_MOCK_B;DA18_MOCK_C;DA19_MOCK_A;DA19_MOCK_B;DA19_MOCK_C;DA20_MOCK_A;DA20_MOCK_B;DA20_MOCK_C;DA21_MOCK_A;DA21_MOCK_B;DA21_MOCK_C;DA22_MOCK_A;DA22_MOCK_B;DA22_MOCK_C;DA23_MOCK_A;DA23_MOCK_B;DA23_MOCK_C;DA24_MOCK_A;DA24_MOCK_B;DA24_MOCK_C;DA25_MOCK_A;DA25_MOCK_B;DA25_MOCK_C;DA26_MOCK_A;DA26_MOCK_B;DA26_MOCK_C;DA27_MOCK_A;DA27_MOCK_B;DA27_MOCK_C;DA28_MOCK_A;DA28_MOCK_B;DA28_MOCK_C;DA29_MOCK_A;DA29_MOCK_B;DA29_MOCK_C;DA30_MOCK_A;DA30_MOCK_B;DA30_MOCK_C;DA31_MOCK_A;DA31_MOCK_B;DA31_MOCK_C;DA32_MOCK_A;DA32_MOCK_B;DA32_MOCK_C;DA33_MOCK_A;DA33_MOCK_B;DA33_MOCK_C;DA34_MOCK_A;DA34_MOCK_B;DA34_MOCK_C;DA35_MOCK_A;DA35_MOCK_B;DA35_MOCK_C;DA36_MOCK_A;DA36_MOCK_B;DA36_MOCK_C;DA37_MOCK_A;DA37_MOCK_B;DA37_MOCK_C;DA38_MOCK_A;DA38_MOCK_B;DA38_MOCK_C;DA39_MOCK_A;DA39_MOCK_B;DA39_MOCK_C;DA40_MOCK_A;DA40_MOCK_B;DA40_MOCK_C;DA41_MOCK_A;DA41_MOCK_B;DA41_MOCK_C;DA42_MOCK_A;DA42_MOCK_B;DA42_MOCK_C;DA43_MOCK_A;DA43_MOCK_B;DA43_MOCK_C;DA44_MOCK_A;DA44_MOCK_B;DA44_MOCK_C;DA45_MOCK_A;DA45_MOCK_B;DA45_MOCK_C;DA46_MOCK_A;DA46_MOCK_B;DA46_MOCK_C;DA47_MOCK_A;DA47_MOCK_B;DA47_MOCK_C;DA48_MOCK_A;DA48_MOCK_B;DA48_MOCK_C;VU1_MOCK_A;VU1_MOCK_B;VU1_MOCK_C;VU2_MOCK_A;VU2_MOCK_B;VU2_MOCK_C;VU3_MOCK_A;VU3_MOCK_B;VU3_MOCK_C;VU4_MOCK_A;VU4_MOCK_B;VU4_MOCK_C;VU5_MOCK_A;VU5_MOCK_B;VU5_MOCK_C;VU6_MOCK_A;VU6_MOCK_B;VU6_MOCK_C;VU7_MOCK_A;VU7_MOCK_B;VU7_MOCK_C;VU8_MOCK_A;VU8_MOCK_B;VU8_MOCK_C;VU9_MOCK_A;VU9_MOCK_B;VU9_MOCK_C;VU10_MOCK_A;VU10_MOCK_B;VU10_MOCK_C;VU11_MOCK_A;VU11_MOCK_B;VU11_MOCK_C;VU12_MOCK_A;VU12_MOCK_B;VU12_MOCK_C;VU13_MOCK_A;VU13_MOCK_B;VU13_MOCK_C;VU14_MOCK_A;VU14_MOCK_B;VU14_MOCK_C;VU15_MOCK_A;VU15_MOCK_B;VU15_MOCK_C;VU16_MOCK_A;VU16_MOCK_B;VU16_MOCK_C;VU17_MOCK_A;VU17_MOCK_B;VU17_MOCK_C;VU18_MOCK_A;VU18_MOCK_B;VU18_MOCK_C;VU19_MOCK_A;VU19_MOCK_B;VU19_MOCK_C;VU20_MOCK_A;VU20_MOCK_B;VU20_MOCK_C;VU21_MOCK_A;VU21_MOCK_B;VU21_MOCK_C;VU22_MOCK_A;VU22_MOCK_B;VU22_MOCK_C;VU23_MOCK_A;VU23_MOCK_B;VU23_MOCK_C;VU24_MOCK_A;VU24_MOCK_B;VU24_MOCK_C;VU25_MOCK_A;VU25_MOCK_B;VU25_MOCK_C;VU26_MOCK_A;VU26_MOCK_B;VU26_MOCK_C;VU27_MOCK_A;VU27_MOCK_B;VU27_MOCK_C;VU28_MOCK_A;VU28_MOCK_B;VU28_MOCK_C;VU29_MOCK_A;VU29_MOCK_B;VU29_MOCK_C;VU30_MOCK_A;VU30_MOCK_B;VU30_MOCK_C;VU31_MOCK_A;VU31_MOCK_B;VU31_MOCK_C;VU32_MOCK_A;VU32_MOCK_B;VU32_MOCK_C;DE1_MOCK_C;DE1_MOCK_A;DE1_MOCK_B;DE2_MOCK_C;DE2_MOCK_A;DE2_MOCK_B;DE3_MOCK_C;DE3_MOCK_A;DE3_MOCK_B;DE4_MOCK_C;DE4_MOCK_A;DE4_MOCK_B;DE5_MOCK_C;DE5_MOCK_A;DE5_MOCK_B;DE6_MOCK_C;DE6_MOCK_A;DE6_MOCK_B;DE7_MOCK_C;DE7_MOCK_A;DE7_MOCK_B;DE8_MOCK_C;DE8_MOCK_A;DE8_MOCK_B;DE9_MOCK_C;DE9_MOCK_A;DE9_MOCK_B;DE10_MOCK_C;DE10_MOCK_A;DE10_MOCK_B;DE11_MOCK_C;DE11_MOCK_A;DE11_MOCK_B;DE12_MOCK_C;DE12_MOCK_A;DE12_MOCK_B;DE13_MOCK_C;DE13_MOCK_A;DE13_MOCK_B;DE14_MOCK_C;DE14_MOCK_A;DE14_MOCK_B;DE15_MOCK_C;DE15_MOCK_A;DE15_MOCK_B;DE16_MOCK_C;DE16_MOCK_A;DE16_MOCK_B;DE17_MOCK_C;DE17_MOCK_A;DE17_MOCK_B;DE18_MOCK_C;DE18_MOCK_A;DE18_MOCK_B;DE19_MOCK_C;DE19_MOCK_A;DE19_MOCK_B;DE20_MOCK_C;DE20_MOCK_A;DE20_MOCK_B;DE21_MOCK_C;DE21_MOCK_A;DE21_MOCK_B;DE22_MOCK_C;DE22_MOCK_A;DE22_MOCK_B;DE23_MOCK_C;DE23_MOCK_A;DE23_MOCK_B;DE24_MOCK_C;DE24_MOCK_A;DE24_MOCK_B;DE25_MOCK_C;DE25_MOCK_A;DE25_MOCK_B;DE26_MOCK_C;DE26_MOCK_A;DE26_MOCK_B;DE27_MOCK_C;DE27_MOCK_A;DE27_MOCK_B;DE28_MOCK_C;DE28_MOCK_A;DE28_MOCK_B;DE29_MOCK_C;DE29_MOCK_A;DE29_MOCK_B;DE30_MOCK_C;DE30_MOCK_A;DE30_MOCK_B;DE31_MOCK_C;DE31_MOCK_A;DE31_MOCK_B;DE32_MOCK_C;DE32_MOCK_A;DE32_MOCK_B
Jeotgalibacillus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3718;4308;3254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2812;3327;2471;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Limosilactobacillus;0.184;4532;3330;4171;4532;3330;4171;NA;NA;NA;4532;3330;4171;4532;3330;4171;4532;3330;4171;NA;NA;NA;4532;3330;4171;5336;4071;4960;5336;4071;4960;NA;NA;NA;5336;4071;4960;5336;4071;4960;5336;4071;4960;NA;NA;NA;5336;4071;4960;5053;3799;4695;5053;3799;4695;NA;NA;NA;5053;3799;4695;5053;3799;4695;5053;3799;4695;NA;NA;NA;5053;3799;4695;5580;4286;5182;5580;4286;5182;NA;NA;NA;5580;4286;5182;5580;4286;5182;5580;4286;5182;NA;NA;NA;5580;4286;5182;4215;3099;3877;4215;3099;3877;NA;NA;NA;4215;3099;3877;4215;3099;3877;4215;3099;3877;NA;NA;NA;4215;3105;3877;4658;3900;4768;4658;3900;4768;NA;NA;NA;4658;3900;4768;5141;3900;4768;4658;3900;4768;NA;NA;NA;5141;3907;4768;751;427;652;751;427;652;NA;NA;NA;751;427;652;751;427;652;751;427;652;NA;NA;NA;751;427;652;9;0;0;9;0;0;NA;NA;NA;9;0;0;9;0;0;9;0;0;NA;NA;NA;9;0;0;746;425;644;746;425;644;NA;NA;NA;746;425;644;751;427;652;751;427;652;NA;NA;NA;751;427;652;0;0;9;0;0;9;NA;NA;NA;0;0;9;9;0;0;9;0;0;NA;NA;NA;9;0;0;2438;2660;1997;2438;2660;1997;NA;NA;NA;2438;2660;1997;2438;2660;1997;2438;2660;1997;NA;NA;NA;2438;2660;1997;3433;3687;2821;3433;3687;2821;NA;NA;NA;3433;3687;2821;3141;3398;2570;3141;3398;2570;NA;NA;NA;3141;3398;2570;2398;2602;1958;2398;2602;1958;NA;NA;NA;2398;2602;1958;2438;2660;1997;2438;2660;1997;NA;NA;NA;2438;2660;1997;3374;3599;2764;3374;3599;2764;NA;NA;NA;3374;3599;2764;3087;3306;2522;3087;3306;2522;NA;NA;NA;3087;3306;2522
Listeria;0.141;4650;3400;4034;4650;3400;4034;4650;3400;4034;4650;3400;4034;4650;3400;4034;4650;3400;4034;4650;3400;4034;4650;3400;4034;6095;4529;5436;6095;4529;5436;6095;4529;5436;6095;4529;5436;6095;4529;5436;6095;4529;5436;6095;4529;5436;6095;4529;5436;5465;4043;4855;5465;4043;4855;5465;4043;4855;5465;4043;4855;5465;4043;4855;5465;4043;4855;5465;4043;4855;5465;4043;4855;6508;4872;5828;6508;4872;5828;6508;4872;5828;6508;4872;5828;6508;4872;5828;6508;4872;5828;6508;4872;5828;6508;4872;5828;3822;2790;3267;3822;2790;3267;3822;2790;3267;3822;2790;3267;4251;3095;3629;3822;2790;3267;4251;3095;3629;4251;3095;3629;5097;3776;4546;5097;3776;4546;5097;3776;4546;5097;3776;4546;5825;4312;5192;5097;3776;4546;5825;4312;5192;5825;4312;5192;1859;1328;1618;3739;2583;3226;2900;2124;2533;3739;2583;3226;1859;1328;1618;3739;2583;3226;2891;2124;2533;3739;2583;3226;3984;2585;3295;1135;782;1068;4397;3145;3862;3984;2585;3295;12;0;0;1095;687;972;3998;2882;3430;3658;2563;3171;1829;1314;1591;3678;2533;3169;2853;2078;2493;3678;2533;3169;1859;1328;1618;3739;2583;3226;2891;2124;2533;3739;2583;3226;429;303;367;1109;757;1048;4318;3083;3799;3889;2519;3219;12;0;0;12;0;0;3930;2812;3375;3580;2526;3120;2524;2874;2124;2524;2874;2124;2524;2874;2124;2524;2874;2124;2524;2874;2124;2524;2874;2124;2524;2874;2124;2524;2874;2124;3773;4236;3126;3773;4236;3126;3773;4236;3126;3773;4236;3126;3402;3886;2882;3402;3886;2882;3402;3886;2882;3402;3886;2882;2484;2827;2078;2484;2827;2078;2484;2827;2078;2484;2827;2078;2524;2874;2124;2524;2874;2124;2524;2874;2124;2524;2874;2124;3701;4159;3064;3701;4159;3064;3701;4159;3064;3701;4159;3064;3339;3810;2812;3339;3810;2812;3339;3810;2812;3339;3810;2812
Negativibacillus;NA;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"o__Bacillales;f__unassigned;g__unassigned";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2780;1762;2171;NA;NA;NA;NA;NA;NA;NA;NA;NA;2501;1852;2163;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"o__Enterobacterales;f__unassigned;g__unassigned";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;628;479;559;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;603;457;535;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"o__Lactobacillales;f__unassigned;g__unassigned";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;4466;3017;3754;NA;NA;NA;NA;NA;NA;NA;NA;NA;4466;3017;3754;NA;NA;NA;NA;NA;NA;NA;NA;NA;2703;1787;2307;2859;1803;2237;NA;NA;NA;NA;NA;NA;7082;5143;6336;2563;1876;2199;NA;NA;NA;NA;NA;NA;4376;2949;3678;NA;NA;NA;NA;NA;NA;2527;1730;2100;4466;3017;3754;NA;NA;NA;NA;NA;NA;NA;NA;NA;6117;3963;5108;NA;NA;NA;NA;NA;NA;2645;1747;2256;6912;5058;6223;1067;674;957;NA;NA;NA;3344;2532;3103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"o__unassigned;f__unassigned;g__unassigned";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;2;NA;NA;NA;NA;NA;NA;NA;0;0;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3462;2436;2926;12;0;0;NA;NA;NA;591;365;495;652;441;648;NA;NA;NA;NA;NA;NA;641;441;638;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2817;2044;2405;25;0;10;NA;NA;NA;12;0;0;2541;1612;1983;2530;1612;1983;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Parabacteroides;NA;2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;NA;NA;NA;2;0;0;NA;NA;NA;2;5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;0;NA;NA;NA;2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;NA;NA;NA;2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;NA;NA;NA;2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Prevotella;NA;NA;NA;NA;4;0;0;4;0;0;4;0;0;NA;NA;NA;4;0;0;4;0;0;4;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;0;0;4;0;0;4;0;0;NA;NA;NA;4;0;0;4;0;0;4;0;0;NA;NA;NA;7;0;0;7;0;0;7;0;0;NA;NA;NA;7;0;0;7;0;0;7;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
